,date,headlines,ticker,company
477,Buy Coal India; target of Rs 275: Motilal Oswal,"Motilal Oswal is bullish on Coal India recommended buy rating on the stock with a target price of Rs 275 in its research report dated March 24, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
478,"Hot Stocks | Bet on Aditya Birla Capital, Varun Beverages, Strides Pharma Science for short term","Varun Beverages has retested the falling trend line on the daily chart before going higher. On the higher end, the index has found resistance at the 14DMA (Rs 1,334.65) during the day#39;s trade on March 22.",VBL,Varun Beverages Limited
479,"Trade Spotlight | What#39;s your strategy for Manappuram Finance, Torrent Power, Emami today?","Torrent Power shares rallied 5 percent to Rs 511, after downtrend from Rs 550 on March 17 till Rs 487 on March 27. The stock has formed robust bullish candlestick pattern on the daily scale with above average volumes. In a single day rally, it clawed back abo…",ANDHRSUGAR,The Andhra Sugars Limited
480,"Trade Spotlight | Your strategy for Adani Green Energy, Swan Energy, JBM Auto today","Adani Green Energy was locked in 5 percent upper circuit for eighth consecutive session after taking support at around Rs 439 on February 28. The stock closed at Rs 682.7, rising 55 percent in last eight sessions in a row, and the volume on last Friday was ab…",ANDHRSUGAR,The Andhra Sugars Limited
483,"Trade Spotlight | How to trade in Glenmark Pharma, PNB Housing Finance, Triveni Engineering today","PNB Housing Finance has formed long bearish candlestick pattern on the daily scale after breaking down bearish Flag and Pole pattern, generally indicating may be more weakness going ahead. Further it has decisively fallen below 200-day EMA (Rs 481) as well, t…",HDFC,Housing Development Finance Corporation Limited
488,NTPC shares rise 2% as Morgan Stanley sees 14% upside,Morgan Stanley has an overweight rating on shares of NTPC with a target price of Rs 198.,NTPC,NTPC Limited
489,"Bajaj Finance assets growth to slow down, says Ambit Capital, starts #39;sell#39; rating","One potential solution for Bajaj Finance could be to obtain a banking license, said Ambit Capital, but this would likely result in a compression of RoE to around 15 percent",BAJAJ-AUTO,Bajaj Auto Limited
490,"Hot Stocks | Coromandel International, NTPC, Oil India may fetch up to 15% return in short term","Primary trend of OIl India is bullish as it has been trading above its 50, 100 and 200-day EMA. For last couple of weeks, stock is consolidating in the narrow range with lower volumes.",IMPAL,India Motor Parts and Accessories Limited
491,"Trade Spotlight | What should you do with Manappuram Finance, CCL Products, RITES today?","RITES was also in action, rising 5.7 percent to Rs 371 and formed strong bullish candle on the daily timeframe with above average volumes. The stock held above all key moving averages since the breaking out of long downward sloping resistance trendline adjoin…",ANDHRSUGAR,The Andhra Sugars Limited
493,"Trade Spotlight | How you should trade in CSB Bank, HDFC AMC, HDFC Life today","HDFC AMC shares rallied 5 percent, the biggest single day gains August 16 last year, to close at Rs 1,764 and formed long bullish candle on the daily charts with above average volumes.",HDFCBANK,HDFC Bank Limited
494,UTI Asset Management shares surge 5% after PPFAS MF block deal,The jump in share price was also supported by strong volumes.,ANDHRSUGAR,The Andhra Sugars Limited
496,Emami approves Rs 186-crore buyback plan at Rs 450 a share,The buyback price of Rs 450 a share is over 23 percent higher than the last closing price,ANDHRSUGAR,The Andhra Sugars Limited
498,"Sideways trend may persist in Nifty, but these 3 stock ideas can return up to 10% in short term","The ongoing sideways trend may persist until there is a decisive breakout above the 17,250 resistance level.",ANDHRSUGAR,The Andhra Sugars Limited
499,"Trade Spotlight | Your game plan for ICICI Prudential Life Insurance, HPCL, DLF today?","Hindustan Petroleum Corporation was one of the star performers, rising over 6 percent to Rs 244.5, the highest closing level since January 25 this year and formed robust bullish candle on the daily timeframe, with strong volumes. The stock traded well above a…",ANDHRSUGAR,The Andhra Sugars Limited
500,"Hot Stocks | Here is why you should bet on NALCO, HCL Technologies, BPCL for short term","NALCO has given a consolidation breakout on the daily chart, suggesting a rise in optimism. Besides, the rally was backed by a rise in volume. The stock has sustained above the critical moving averages on the daily chart.",ANDHRSUGAR,The Andhra Sugars Limited
501,Power Grid slips despite order win to establish inter-state transmission system,"Power Grid has projects in hand of Rs 47,600 crore with ongoing projects of Rs 7,600 crore, new projects of Rs 27,000 crore and Tariff Based Competitive Bidding projects of Rs 13,000 crore.",PFC,Power Finance Corporation Limited
503,Mahanagar Gas drops 2% as investors cash in on gains from Unison Enviro acquisition,"Even as the Unison Enviro acquisition has enhanced the long-term growth outlook of Mahanagar Gas, some analysts are wary of the acquisition impacting earnings in the near term.",MGL,Mahanagar Gas Limited
504,"RIL tariff concerns look overdone, expect 36% upside, says Jefferies","The telecom tariff hike may be delayed till after the general elections in May 2024 but when it comes in, it can quickly change the market structure in favour of RIL, the brokerage has said in its latest report",ANDHRSUGAR,The Andhra Sugars Limited
505,MM opens flat after buyout of aerospace subsidiary,"The company increased its holding in Mahindra Aerospace Private Limited from around 91.6 percent to 100 percent. MAPLâs 7.68 crore shares were bought for around Rs 31.5 crore, the company said in an exchange filing",ANDHRSUGAR,The Andhra Sugars Limited
506,Buy Federal Bank of Rs 185: Emkay Global Financial,"Emkay Global Financial is bullish on Federal Bank has recommended buy rating on the stock with a target price of Rs 185 in its research report dated March 01, 2023.",BANKBARODA,Bank of Baroda
507,"Buy Page Industries; target of Rs 48,800: Emkay Global Financial","Emkay Global Financial is bullish on Page Industries has recommended buy rating on the stock with a target price of Rs 48,800 in its research report dated February 10, 2023.",EMKAY,Emkay Global Financial Services Limited
508,Buy Devyani International; target of Rs 215: Emkay Global Financial,"Emkay Global Financial is bullish on Devyani International has recommended buy rating on the stock with a target price of Rs 215 in its research report dated February 10, 2023.",EMKAY,Emkay Global Financial Services Limited
509,Buy Mahindra and Mahindra Financial Services; target of Rs 290: Sharekhan,"Sharekhan is bullish on Mahindra and Mahindra Financial Services has recommended buy rating on the stock with a target price of Rs 290 in its research report dated March 03, 2023.",M&M,Mahindra & Mahindra Limited
511,Buy Power Grid Corporation of India; target of Rs 265: Sharekhan,"Sharekhan is bullish on Power Grid Corporation of India has recommended buy rating on the stock with a target price of Rs 265 in its research report dated March 29, 2023.",IMPAL,India Motor Parts and Accessories Limited
512,Buy Aditya Birla Capital; target of Rs 200: Emkay Global Financial,"Emkay Global Financial is bullish on Aditya Birla Capital has recommended buy rating on the stock with a target price of Rs 200 in its research report dated March 06, 2023.",ABFRL,Aditya Birla Fashion and Retail Limited
513,Buy Triveni Engineering and Industries; target of Rs 340: Sharekhan,"Sharekhan is bullish on Triveni Engineering and Industries has recommended buy rating on the stock with a target price of Rs 340 in its research report dated March 24, 2023.",TRITURBINE,Triveni Turbine Limited
514,Buy GAIL (India); target of Rs 118: Prabhudas Lilladher,"Prabhudas Lilladher is bullish on GAIL (India) has recommended buy rating on the stock with a target price of Rs 118 in its research report dated March 29, 2023.",GAIL,GAIL (India) Limited
515,Bandhan Bank rallies 3.5% in early trade after hitting 3 year lows recently,"Recently, Bandhan Bank shares hit three year lows and has given a negative 7.54 percent return over the last one week. The stock touched a 3-year low of Rs 185.45 on Tuesday due to volume based heavy selling.",ANDHRSUGAR,The Andhra Sugars Limited
516,Virat Kohli-backed Go Digit General Insurance refiles draft papers with SEBI,"The Securities Exchange Board of India had in February returned the draft papers over its employee stock option plan. The company says it made changes to ESOP, which have been approved by the board as well as shareholders",ANDHRSUGAR,The Andhra Sugars Limited
517,"Wall Street wobbles to mixed close, Treasury yields inch higher as Jerome Powell concludes testimony","The major U.S. stock indexes oscillated between modest gains and losses throughout the day, with the Nasdaq joining the S&amp;P 500 in positive territory at the closing bell and the Dow posting a modest loss.",ANDHRSUGAR,The Andhra Sugars Limited
518,Buy Hindustan Petroleum Corporation; target of Rs 265: Sharekhan,"Sharekhan is bullish on Hindustan Petroleum Corporation has recommended buy rating on the stock with a target price of Rs 265 in its research report dated February 10, 2023.",HCC,Hindustan Construction Company Limited
520,Buy eClerx Services; target of Rs 1675: Emkay Global Financial,"Emkay Global Financial is bullish on eClerx Services has recommended buy rating on the stock with a target price of Rs 1675 in its research report dated March 22, 2023.",ECLERX,eClerx Services Limited
522,Buy AU Small Finance Bank; target of Rs 800: Sharekhan,"Sharekhan is bullish on AU Small Finance Bank has recommended buy rating on the stock with a target price of Rs 800 in its research report dated March 23, 2023.",BANKBARODA,Bank of Baroda
523,Buy Electronics Mart India Ltd; target of Rs 86: LKP Research,"LKP Research is bullish on Electronics Mart India Ltd has recommended buy rating on the stock with a target price of Rs 86 in its research report dated March 27, 2023.",IMPAL,India Motor Parts and Accessories Limited
524,Kotak upgrades Uno Minda to buy; revises target price to Rs 545/share,Kotak Institutional Equities has upgraded Uno Minda from ADD to BUY and revised its target price to Rs 545 a share. The brokerage said that the recent 15% correction in stock price has made the valuations more attractive.,ANDHRSUGAR,The Andhra Sugars Limited
525,Buy Kalpataru Power Transmission; target of Rs 695: Sharekhan,"Sharekhan is bullish on Kalpataru Power Transmission has recommended buy rating on the stock with a target price of Rs 695 in its research report dated March 13, 2023.",KALPATPOWR,Kalpataru Power Transmission Limited
526,Novartis launches new $11 billion share buyback,"The Swiss company said it will buy a maximum of 10% of its own stock over the period from its last Annual General Meeting, which took place on March 7, up to the AGM in 2026.",ANDHRSUGAR,The Andhra Sugars Limited
527,Buy Balrampur Chini Mills; target of Rs 425: Sharekhan,"Sharekhan is bullish on Balrampur Chini Mills has recommended buy rating on the stock with a target price of Rs 425 in its research report dated February 14, 2023.",BALRAMCHIN,Balrampur Chini Mills Limited
528,Buy Aditya Birla Fashion; target of Rs 305: Motilal Oswal,"Motilal Oswal is bullish on Aditya Birla Fashion recommended buy rating on the stock with a target price of Rs 305 in its research report dated February 28, 2023.",ABFRL,Aditya Birla Fashion and Retail Limited
530,Buy Nitin Spinners; target of Rs 304: Emkay Global Financial,"Emkay Global Financial is bullish on Nitin Spinners has recommended buy rating on the stock with a target price of Rs 304 in its research report dated March 24, 2023.",EMKAY,Emkay Global Financial Services Limited
531,Wall Street ends sharply lower as Jerome Powell warns inflation fight continues,"The three major U.S. stock indexes, which were mostly directionless prior to the Fed announcement, jumped higher then deflated as investors digested the accompanying statement and Chair Jerome Powell's subsequent Q&amp;A session.",ANDHRSUGAR,The Andhra Sugars Limited
532,Buy Crompton Greaves Consumer Electricals; target of Rs 405: Nirmal Bang,"Nirmal Bang is bullish on Crompton Greaves Consumer Electricals has recommended buy rating on the stock with a target price of Rs 405 in its research report dated March 27, 2023.",CROMPTON,Crompton Greaves Consumer Electricals Limited
534,"Hot Stocks | Bet on Bosch, Neuland Lab, NCC for up to 17% return in short term",Neuland Laboratories breaks out from a falling trend line on the daily chart with a rise in volumes. The momentum indicator RSI (relative strength index) has crossed the level of 60 with a positive crossover confirming the buy signal.,ANDHRSUGAR,The Andhra Sugars Limited
535,RIL snaps 8-day losing streak; CLSA sees 34% upside,"Brokerage firm CLSA expects multiple positive triggers for Reliance in H2FY24 including ramp-up of FMCG business, launch of Airfiber to catapult wireless broadband penetration, a new affordable 5G smartphone and IPO of Jio and/or retail.",RCOM,Reliance Communications Limited
538,Granules India shares rise as arm concludes US FDA audit,Granules Consumer Health#39;s packaging unit in Manassas was inspected by the US FDA from March 15-20.,GRANULES,Granules India Limited
539,Mawana Sugars jumps 7% on plans to sell non-agricultural land in Uttar Pradesh,Mawana Sugars has seen the biggest single-day rally since March 8.,MAWANASUG,Mawana Sugars Limited
540,"Hot Stocks | Bandhan Bank, Eicher Motors, Persistent Systems may fetch good returns in a falling market","Eicher Motors has violated the crucial support of Rs 3,090 on closing basis. It took resistance at 200-day SMA in the recent pullback and resumed down trend.",EICHERMOT,Eicher Motors Limited
541,"Hot Stocks | Indian Oil, Zensar Tech, Manappuram Finance can fetch 10% return in short term",Flag Pattern Breakout is expected on the daily chart on Zensar Technologies. The stock price has witnessed healthy correction after sharp upswing. IT Sector has also reached oversold zone on short term charts.,ANDHRSUGAR,The Andhra Sugars Limited
542,"Jindal Stainless hits record high, experts see another 14% rally","Jindal Stainless delivered more than 210 percent return since the low of June 2022, while since November last year, it has consistently been trading above all medium and long-term key moving averages (50, 100 and 200-day EMA), which is a positive sign.",JINDALPOLY,Jindal Poly Films Limited
544,"Global trends, FPIs trading activity to drive markets in holiday-shortened week: Analysts","Last week, the BSE benchmark climbed 345.04 points or 0.58 per cent. Markets remained highly volatile last week but managed to end higher amid a sharp rebound on Friday.",BSE,BSE Limited
545,Jefferies sees 10% downside for Asian Paints. Here#39;s why,The company will see better margin trends in Q4 as high-cost inventory gets exhausted. Jefferies estimates gross margins to inch up to &gt;40 percent in the next quarter,ANDHRSUGAR,The Andhra Sugars Limited
547,Olectra Greentech jumps 9% on regulatory nod to electric tipper,Olectra Greentech has said the first order for 20 e-tippers is in the final stage of discussion and it will also launch variants of the e-tipper and electric truck shortly,20MICRONS,20 Microns Limited
548,"Hot Stocks | Here#39;s why you should bet on Cipla, Cummins India for short term",The entire capital goods space has been bucking the trend in recent challenging times and Cummins India specifically is completely on a roll.,ANDHRSUGAR,The Andhra Sugars Limited
549,"Trade Spotlight | How to trade in Suprajit Engineering, Coal India, Siemens today?","Siemens retreated sharply after recent consolidation and record high, falling nearly 4 percent to Rs 3,132. The stock has seen formation of big bearish candlestick pattern on the daily charts, after Doji pattern formation in previous session, but still mainta…",ANDHRSUGAR,The Andhra Sugars Limited
550,"Hot Stocks | Here#39;s why you should buy Suprajit Engineering, RITES for short term",Suprajit Engineering has been bucking the trend from the beginning of February month. It has been moving steadily after forming a strong base around Rs 320.,SUPRAJIT,Suprajit Engineering Limited
552,Buy AXIS Bank of Rs 1250: Emkay Global Financial,"Emkay Global Financial is bullish on AXIS Bank has recommended buy rating on the stock with a target price of Rs 1250 in its research report dated March 02, 2023.",BANKBARODA,Bank of Baroda
553,Buy Bharti Airtel; target of Rs 890: Anand Rathi,"Anand Rathi is bullish on Bharti Airtel has recommended buy rating on the stock with a target price of Rs 890 in its research report dated March 09, 2023.",BHARTIARTL,Bharti Airtel Limited
554,Buy Ratnamani Metals and Tubes; target of Rs 2500: Sharekhan,"Sharekhan is bullish on Ratnamani Metals and Tubes has recommended buy rating on the stock with a target price of Rs 2500 in its research report dated February 15, 2023.",RATNAMANI,Ratnamani Metals & Tubes Limited
555,Buy Hero MotoCorp; target of Rs 2855: Anand Rathi,"Anand Rathi is bullish on Hero MotoCorp has recommended buy rating on the stock with a target price of Rs 2855 in its research report dated March 16, 2023.",HEROMOTOCO,Hero MotoCorp Limited
556,Buy Finolex Industries; target of Rs 224: Prabhudas Lilladher,"Prabhudas Lilladher is bullish on Finolex Industries has recommended buy rating on the stock with a target price of Rs 224 in its research report dated March 28, 2023.",FINCABLES,Finolex Cables Limited
557,Buy InterGlobe Aviation; target of Rs 2600: Emkay Global Financial,"Emkay Global Financial is bullish on InterGlobe Aviation has recommended buy rating on the stock with a target price of Rs 2600 in its research report dated March 21, 2023.",EMKAY,Emkay Global Financial Services Limited
558,"Trade Spotlight | Your game plan for Olectra Greentech, Anupam Rasayan, Sudarshan Chemical Industries today","Sudarshan Chemical Industries extended its uptrend with above average volumes for third consecutive session, rising nearly 3 percent to Rs 416. The stock has been making higher highs formation for fifth day in a row.",ANDHRSUGAR,The Andhra Sugars Limited
559,Buy InterGlobe Aviation; target of Rs 2600: Emkay Global Financial,"Emkay Global Financial is bullish on InterGlobe Aviation has recommended buy rating on the stock with a target price of Rs 2600 in its research report dated March 24, 2023.",EMKAY,Emkay Global Financial Services Limited
560,Buy Rainbow Childrenâs Medicare; target of Rs 840: ICICI Direct,"ICICI Direct is bullish on Rainbow Childrenâs Medicare recommended buy rating on the stock with a target price of Rs 840 in its research report dated March 28, 2023.",ICICIBANK,ICICI Bank Limited
561,Buy Avenue Supermarts; target of Rs 4699: Prabhudas Lilladher,"Prabhudas Lilladher is bullish on Avenue Supermarts has recommended buy rating on the stock with a target price of Rs 4699 in its research report dated March 21, 2023.",DMART,Avenue Supermarts Limited
562,Buy Mahindra and Mahindra; target of Rs 1525: Motilal Oswal,"Motilal Oswal is bullish on Mahindra and Mahindra recommended buy rating on the stock with a target price of Rs 1525 in its research report dated March 08, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
563,Buy Larsen and Toubro; target of Rs 2600: Sharekhan,"Sharekhan is bullish on Larsen and Toubro has recommended buy rating on the stock with a target price of Rs 2600 in its research report dated March 08, 2023.",LT,Larsen & Toubro Limited
564,Buy Can Fin Homes; target of Rs 700: Prabhudas Lilladher,"Prabhudas Lilladher is bullish on Can Fin Homes has recommended buy rating on the stock with a target price of Rs 700 in its research report dated March 20, 2023.",CANFINHOME,Can Fin Homes Limited
565,Buy HG Infra Engineering; target of Rs 915: ICICI Direct,"ICICI Direct is bullish on HG Infra Engineering recommended buy rating on the stock with a target price of Rs 915 in its research report dated March 27, 2023.",ICICIBANK,ICICI Bank Limited
566,Buy Mahindra and Mahindra; target of Rs 1550: Motilal Oswal,"Motilal Oswal is bullish on Mahindra and Mahindra recommended buy rating on the stock with a target price of Rs 1550 in its research report dated February 10, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
567,Buy Life Insurance Corporation; target of Rs 830: Motilal Oswal,"Motilal Oswal is bullish on Life Insurance Corporation recommended buy rating on the stock with a target price of Rs 830 in its research report dated February 10, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
568,Buy Federal Bank; target of Rs 175: Prabhudas Lilladher,"Prabhudas Lilladher is bullish on Federal Bank has recommended buy rating on the stock with a target price of Rs 175 in its research report dated March 01, 2023.",BANKBARODA,Bank of Baroda
569,Buy Tech Mahindra; target of Rs 1270: Emkay Global Financial,"Emkay Global Financial is bullish on Tech Mahindra has recommended buy rating on the stock with a target price of Rs 1270 in its research report dated March 04, 2023.",EMKAY,Emkay Global Financial Services Limited
571,Buy Equitas Small Finance Bank; target of Rs 77: Motilal Oswal,"Motilal Oswal is bullish on Equitas Small Finance Bank recommended buy rating on the stock with a target price of Rs 77 in its research report dated March 21, 2023.",BANKBARODA,Bank of Baroda
572,"These 15 stocks are attractive investment opportunities for April, says technical chartist","Defence sector stocks such as Hindustan Aeronautics, Bharat Dynamics, and Bharat Electronics appear compelling picks for April, according to Viraj Vyas of Ashika Group.",BBL,Bharat Bijlee Limited
573,Reduce Lupin; target of Rs 660: Sharekhan,"Sharekhan recommended reduce rating on Lupin with a target price of Rs 660 in its research report dated February 10, 2023.",LUPIN,Lupin Limited
574,Godawari Power up 1% on board approval for buyback plan,"On March 18, the board of Godawari Power &amp; Ispat approved the plan to buy back shares worth up to Rs 250 crore, through the tender offer route.",GPIL,Godawari Power And Ispat limited
576,Contamination risk among 8 observations US FDA issued to Ciplaâs Pithampur unit,The US FDAâs current Good Manufacturing Practices (cGMP) inspection at the said unit was conducted between February 6 and February 17.,ANDHRSUGAR,The Andhra Sugars Limited
578,Shalbyâs share surges after ace investor Veliyath buys 0.56% stake via bulk deal,"Taking the deal into consideration, the Indian investor and fund manager has invested around Rs 7.13 crore in the small cap company.",IMFA,Indian Metals & Ferro Alloys Limited
580,"Man Industries#39; shares hit one-month high on order win worth Rs 1,300 cr",Man Industries is also undertaking capital expenditure to further widen its product offerings by entering manufacturing of stainless steel and ERW pipes.,MANINDS,Man Industries (India) Limited
581,Neutral Divis Labs; target of Rs 2620: Motilal Oswal,"Motilal Oswal recommended Neutral rating on Divis Labs with a target price of Rs 2620 in its research report dated March 20, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
582,Neogen Chemicals surges nearly 4% on plans to acquire BuLi Chemicals,"The total turnover of BuLi Chemicals for FY22 was INR 65.27 crore, up 43.8% from FY21.",ANDHRSUGAR,The Andhra Sugars Limited
585,ISGEC Heavy Engineering gains 4% on Rs 197.25-crore order win,"The order is for renovating and modernising the electrostatic precipitators of 2x500 MW TPP at Chandrapur Thermal Power Station, the company has said",ANDHRSUGAR,The Andhra Sugars Limited
586,Axis Bank shares gain on completion of acquisition deal with Citigroup,The acquisition was announced in March last year and received approval from the CCI in July 2022.,ANDHRSUGAR,The Andhra Sugars Limited
587,Hold Balkrishna Industries; target of Rs 2163: Sharekhan,"Sharekhan recommended hold rating on Balkrishna Industries with a target price of Rs 2163 in its research report dated February 13, 2023.",BALKRISHNA,Balkrishna Paper Mills Limited
588,SVB says Goldman Sachs was the buyer of portfolio it booked losses on,The capital raise was thwarted as depositors fled and investors fretted SVB would have needed even more capital.,ANDHRSUGAR,The Andhra Sugars Limited
589,Cochin Shipyard jumps 6.5% on Rs 550 cr-order win from Samskip Group,"Cochin Shipyard has bagged an order from NAVSHUTTLE 1 AS and NAV SHUTTLE 2 AS, Lysaker Norway, for design and construction of two Zero Emission Feeder Container Vessels with an option for two more vessels.",CONCOR,Container Corporation of India Limited
590,"Quess Corp snaps 3-day losing streak after big block deal, promoters likely increase stake",The deal was carried out at 10 percent premium to previous closing price of Rs 343.35,ANDHRSUGAR,The Andhra Sugars Limited
591,Saudi National Bank chair Ammar al-Khudairy resigns after Credit Suisse buyout,"The Saudi bank's board of directors &quot;accepted the resignation &quot; of Ammar al-Khudairy &quot;due to personal reasons &quot;, the statement said.",ANDHRSUGAR,The Andhra Sugars Limited
592,"GQG Partners likely to increase Adani investment, says founder Rajiv Jain","&quot;Chances are we'll probably buy more because we typically initiate a position and then depending on how things go and how the earnings come through we tend to get it to full size because we're not at full size at this point,&quot; Jain said on a call with…",JISLDVREQS,Jain Irrigation Systems Limited
595,Global Surfaces spikes 23% on debut day. What should investors do?,"The listing price was largely better than analysts#39; expectations as well as ahead of the grey market premium, which was around 8-10 percent over the issue price.",ANDHRSUGAR,The Andhra Sugars Limited
596,"Bharti Airtel inches up as Morgan Stanley stays overweight, expects 11% upside",Morgan Stanley expects tariff hike to be 1.3-1.5 percent accretive to revenues of the company#39;s India mobile business while it added that potential 4G tariff hikes and accelerated market share gains are the key triggers.,IMPAL,India Motor Parts and Accessories Limited
598,,"Escorts Kubota 

Total sales up 16.5% at 6,649 units vs 5,707 units (YoY) 

Domestic sales up 22.2% at 6,235 units vs 5,103 units (YoY)",ESCORTS,Escorts Kubota Limited
599,,"NCC | Receives 4 new #orders worth ₹1,755 crore in January 2023 from state #government agencies",NCC,NCC Limited
603,,"Prism Johnson reports #Q3 #earnings              

Loss of ₹63.4 cr vs 0.72 loss (YoY)
Revenue up 8.4% at 1,774.3 cr vs ₹1,636.5 cr (YoY)

EBITDA down 48% at ₹60.1 cr vs 115.8 cr (YoY)

Margin at 3.4% vs 7.1% (YoY)

#Q3FY23",JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited
604,,"Duty lowered for mobile phone components & TV sets, announces Finance Minister @nsitharaman 

#CNBCTV18LIVE #Budget2023 #BudgetSession",TVTODAY,TV Today Network Limited
605,,"16% increase in National Calamity Contingent Duty (NCCD) on certain cigarettes, announces Finance Minister @nsitharaman",NATIONALUM,National Aluminium Company Limited
606,,"Ramco Systems reports Q3 earnings 

Loss of ₹50.2 cr vs ₹60.3 cr (loss) (YoY)

Revenue up 7.5% at ₹127.5 cr vs ₹118.6 cr (YoY)",RAMCOIND,Ramco Industries Limited
608,,"Dilip Buildcon gets Letter of Acceptance (LoA) for two HAM projects worth Rs 1,373.6 Cr in Bangalore and Andhra Pradesh",DBL,Dilip Buildcon Limited
609,,"VST Tillers total #sales up 18.1% at 4,306 units vs 3,646 units (YoY)    ",VSTIND,VST Industries Limited
610,,"Sterling Tools reports #Q3 earnings 

Profit at ₹13.9 cr vs ₹6.5 cr (YoY)

Revenue up 70.3% at ₹207.8 cr vs ₹122 cr (YoY)

EBITDA up 69.7% at ₹28 cr vs ₹16.5 cr (YoY)

Margin flat at 13.5% (YoY)",STERTOOLS,Sterling Tools Limited
612,,"SML Isuzu

Total sales up 27% at 771 units vs 609 units (YoY)",SMLISUZU,SML Isuzu Limited
613,,"Atul Auto
Total sales increase by 27.7% to 2,205 units from 1,727 units (YoY)",ATUL,Atul Limited
615,,"Raymond reports #Q3 results

Net profit down 5.5% at ₹94.8 cr vs ₹100.3 cr (YoY)

Revenue up 17.6% at ₹2,168.2 cr vs ₹1,843.4 cr (YoY)

EBITDA up 15.5% at ₹318.3 cr vs ₹275.6 cr (YoY)

EBITDA margin at 14.7% vs 15% (YoY)",RAYMOND,Raymond Limited
616,,"Kaya Q3 | #3QWithCNBCTV18 

Net loss of Rs 17.8 cr vs loss of Rs 8.31 cr (YoY)

Revenue up 10.2% at Rs 100 cr vs Rs 91 cr (YoY)",KAYA,Kaya Limited
617,,"#Budget2023: Market At Close

#ITC rises 10% from lowes to close 2% higher on no major change in tax

Steel cos gain on customs duty reduction on select items, #Tata Steel & #JSW up 2% each

#Indian Hotels, Chola Invst are top Midcap gainers after a strong set of earnings",SAIL,Steel Authority of India Limited
618,,"Eicher Motors 

Total VECV sales up 32.1%  at 7,181 units vs 5,434 units (YoY)

Total Domestic Sales up 50.1% at 6,791 units vs 4,523 units (YoY",EICHERMOT,Eicher Motors Limited
619,,"Ashok Leyland reports #Q3 earnings 

Profit at ₹319 cr vs loss of ₹121.6 cr (YoY)

 Revenue up 56.2% at ₹10,399.7 cr vs ₹6,659.8 cr (YoY)

 EBITDA at ₹1,344.4 cr vs ₹657.9 cr (YoY)

 Margin at 12.9% vs 9.9% (YoY)",ASHOKLEY,Ashok Leyland Limited
620,,"Timken India reports Q3 earnings
 
 Profit up 1.2% at ₹70.6 cr vs ₹69.8 cr (YoY)

 Revenue up 19.5% at ₹609.4 cr vs ₹510 cr (YoY)",IMPAL,India Motor Parts and Accessories Limited
621,,"Hero MotoCorp

 Total sales at 3.56 lakh units vs Nomura’s est of 4.10 lakh units

 Total sales down 6.3% at 3.56 lakh units vs 3.80 lakh units (YoY)

 Exports down 66.8% at 7,253 units vs 21,816 units (YoY)",HEROMOTOCO,Hero MotoCorp Limited
622,,"Gillette India reports #Q3 #earnings 

 Net profit up 5.6% at ₹74.5 cr vs ₹71 cr (YoY)

 Revenue up 9.8% at ₹618.6 cr vs ₹563.4 cr (YoY)

 EBITDA up 10.4% at ₹126 cr vs ₹114.2 cr (YoY)

 Margin 20.4% vs 20.3% (YoY)",GILLETTE,Gillette India Limited
623,,"Zuari Agro reports #Q3 earnings 

 Profit at ₹69.2 cr vs ₹29.7 cr (YoY)

 Revenue up 49% at ₹1,416.2 cr vs ₹950.5 cr (YoY)",ATFL,Agro Tech Foods Limited
625,,"RPG Life reports Q3 earnings 

 Profit up 30.8% At ₹19.1 Cr Vs ₹14.6 Cr (YoY)

 Revenue up 13% At ₹130.6 Cr Vs ₹115.6 Cr (YoY)",RPGLIFE,RPG Life Sciences Limited
626,,"Ashok Leyland 

 Total sales at 17,200 units vs Nomura’s estimate of 17,450 units 

 Total sales up 23% at 17,200 units vs 13,939 units (YoY)",ASHOKLEY,Ashok Leyland Limited
627,,"Hindustan Copper reports Q3 earnings 

 Profit down 53.3% at ₹80.2 cr vs ₹171.7 cr (YoY)

 Revenue up 2.3% at ₹557 cr vs ₹544.4 cr (YoY)

 EBITDA down 13.4% at 113.9 cr vs 131.5 cr (YoY)

 Margin at 20.5% vs 24.2% (YoY)",HCC,Hindustan Construction Company Limited
628,,"Alembic Pharma reports Q3 earnings 

 Profit down 29.1% at 121.9 cr vs ₹171.8 cr (YoY)

 Revenue up 18.7% at ₹1,509 cr vs ₹1,271.7 cr (YoY)

 EBITDA up 2.9% at ₹248.7 cr vs 241.7 cr (YoY)

 Margin at 16.5% vs 19% (YoY)",ALEMBICLTD,Alembic Limited
630,,"Deepak Fert to buy natural gas from Gujarat State Petroleum Corporation for 3 years effective May 1, 2023",DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
631,,Indiabulls Housing Fin | HSBC Global AMC sells 0.37% stake via open market on January 30,GLOBALVECT,Global Vectra Helicorp Limited
632,,Ion Exchange bags contract worth ₹726.1 cr from Indian Oil,IMFA,Indian Metals & Ferro Alloys Limited
633,,Reliance Retail to start accepting retail payments via Digital Rupee across its stores,RCOM,Reliance Communications Limited
